Part,Ref des,Value,Part number/description,Source,Qty,Price each,Total price,Notes
Main power capacitors,"C1,C2",4700uF,SLPX472M050A7P3,DigiKey,2,$3.81,$7.62,
Main power film capacitor,C3,2.2uF,ECW-FE2J225J,DigiKey,1,$1.88,$1.88,
Secondary drain feedback cap,C4,47nF,R76QI2470JH4EJ,Home,1,$1.01,$1.01,
Gate driver large decoupling capacitor,C5,10u,CGA5L1X7R1H106K160AC,DigiKey,1,$1.01,$1.01,Physically close to gate driver IC
Gate driver small decoupling capacitor,C6,0.1uF,C0805C104M5RACTU,Home,1,,,As close as physically possible to gate driver IC
555 timing capacitor,C7,1uf,R82DC4100AA60K,DigiKey,1,$0.60,$0.60,
555 CV pin noise filter capacitor,C8,10n,50V Ceramic capacitor,Home,1,,,
555 decoupling capacitor,C9,1u,50V Ceramic Capacitor,Home,1,,,
LM2596 input capacitor,C10,680uF,EKYC800ELL681MK30S,DigiKey,1,$1.86,$1.86,
LM2596 output capacitor,C11,220uF,50V Electrolytic Capacitor,Home,1,,,
LM7815 input bypass capacitor,C12,0.33u,50V Ceramic Capacitor,Home,1,,,
LM7815 output bypass capacitor,C13,1u,50V Ceramic Capacitor,Home,1,,,
LM7815 output bulk capacitor,C14,47u,50V Electrolytic Capacitor,Home,1,,,
Feedback voltage restricting diodes,"D1, D2",200V 1A,MUR120G,DigiKey,2,$0.59,$1.18,
Drain-source reverse protection diode,D3,200V 15A,12TQ200,DigiKey,1,$2.03,$2.03,
Drain-source unidirectional TVS diode,D4,130VWM 209VC,SMCJ130A,DigiKey,1,0.91,$0.91,
Gate reverse protection diodes,D5-D7,18V Bidir TVS,1.5KE18CA-E3/54,DigiKey,3,$1.41,$4.23,
555 oscillator diodes,"D8, D9",100 V 200mA,1N4148,Home,2,,,
LM2596 diode,D10,60V 3A Schkty,SB360-T,DigiKey,1,$0.98,$0.98,
Blade fuse fuseholder,F1,for 10A fuse,3522-2,DigiKey,1,$0.89,$0.89,For 10A fuse at power input
External 15V in,J1,-,Through hole PCB double,(On PCB),1,,,For external 15V in (instead of built in regulated 15V supply)
External 15V out,J2,-,Through hole PCB double,(On PCB),1,,,For external buck converter to fan
Secondary Bottom,J3,-,Through hole PCB single,(On PCB),1,,,
Primary PCB-end connection,"J4, J5",Screw terminal,Keystone 7799,DigiKey,2,$0.76,$1.52,
Main power in,J6,Screw terminal,EK508V-02P,DigiKey,1,$0.76,$0.76,
15V enable,JP1,-,Dupont male header x2,Home,1,,,
Regulator enable,JP2,-,Dupont male header x2,Home,1,,,
LM2596 inductor,L3,100uH,100uH 3A inductor,Home,1,,,
MOSFETs,Q1-Q3,Nch 200V 34A,IPP320N20N3,DigiKey,5,$3.36,$16.80,"On heatsink. Get more just in case they burn out, but really you only need one, or three if you need more current"
Gate driver input resistor,R1,330Ω (SMD),AC0805FR-7W330RL,DigiKey,1,$0.11,$0.11,Place physically close to gate driver
Enable pin pull down resistor,R2,2k,2kΩ 0.25W through-hole,Home,1,,,
Input capacitor discharge resistor,"R3, R4",10k,10k 0.25W through-hole,Home,1,,,
MOSFET gate input resistor,R5-R7,10Ω 1%1W SMD,RMCF2512FT10R0,DigiKey,3,$0.25,$0.75,
Gate driver input resistor,R8,100Ω,100Ω 0.25W through-hole,Home,1,,,
555 off-time fixed resistor,R9,470Ω 1% THT,MFR-25FRF52-470R,DigiKey,1,$0.10,$0.10,
555 on-time fixed resistor,R10,150Ω 1% THT,LR0204F150R,DigiKey,1,$0.10,$0.10,
LM2596 feedback voltage to output,R11,13.7k,MFR-25FBF52-13K7,DigiKey,1,$0.10,$0.10,
LM2596 feedback voltage to ground,R12,1k,1kΩ 0.25W 1% THT,Home,1,,,
Starting resistor to gate driver,R13,150k,MFR-25FRF52-150K,Home,1,,,Kick-starts oscillation by pulling up gate driver input
555 off-time adjustment potentiometer,RV1,50k log pot,PDB181-E420K-503A2,DigiKey,1,$1.77,$1.77,Uses JST-XH 1x02 connector on PCB
555 on-time adjustment potentiometer,RV2,5k linear pot,PDB181-K420K-502B,DigiKey,1,$1.63,$1.63,Uses JST-XH 1x02 connector on PCB
CW/Interrupted mode switch,SW1,SPDT THT,CF-LD-1DC6-AW2W,DigiKey,1,$2.12,$2.12,
On trigger button,SW2,12mm SPST-NO,PV5S24019,DigiKey,1,$5.59,$5.59,"Use JST-XH 1x02 connector on PCB, it is actually a JST-XH connector, but connect the 12mm button switch."
Gate Driver,U1,,UCC27624VDR,DigiKey,1,$1.26,$1.26,
555 Timer (for interruption),U2,,TLC555,Home,1,,,
VCC to 18V switching buck converter,U3,,LM2596TVADJG,DigiKey,1,$2.38,$2.38,
15V linear regulator,U4,,LM7815CT/NOPB,DigiKey,1,$1.86,$1.86,
Main Power Switch,Not PCB,SPST 16A 30V,RCA1913S1ABLKBLKWHT3,DigiKey,1,$3.96,$3.96,
Primary coil,Not PCB,10awg wire,,Home,1,,,
Primary wire-end connection,Not PCB,M4,3240027,DigiKey,2,$0.89,$1.78,From Phoenix Contact
Secondary coil,Not PCB,34awg wire,Red 34awg enameled wire,Amazon,1,$12.98,$12.98,Probably will only use around 1-2oz out of the 4oz
Secondary and body PVC tube,Not PCB,"2.5"" ID, 24"" length",,Other,,,,
JST XH socket leads,Not PCB,,ASXHSXH22K254,DigiKey,2,$0.81,$1.62,"There are two wires and two ends, so I can cut them in half to have 8x 5"" loose end leads for connecting JST-XH"
Total,,,,,,,$81.39,
