Part Number,Qty,Reference Designator
SLPX472M050A7P3,2,"C1,C2"
ECW-FE2J225J,1,C3
CGA5L1X7R1H106K160AC,1,C5
R82DC4100AA60K,1,C7
EKYC800ELL681MK30S,1,C10
MUR120G,2,"D1, D2"
12TQ200,1,D3
SMCJ130A,1,D4
1.5KE18CA-E3/54,3,"D5, D6, D7"
SB360-T,1,D10
3522-2,1,F1
7799,2,"J4, J5"
EK508V-02P,1,J6
IPP320N20N3,5,"Q1, Q2, Q3"
AC0805FR-7W330RL,1,R1
RMCF2512FT10R0,3,"R5, R6, R7"
MFR-25FRF52-470R,1,R9
LR0204F150R,1,R10
MFR-25FBF52-13K7,1,R11
PDB181-E420K-503A2,1,RV1
PDB181-K420K-502B,1,RV2
CF-LD-1DC6-AW2W,1,SW1
PV5S24019,1,SW2
UCC27624VDR,1,U1
LM2596TVADJG,1,U3
LM7815CT/NOPB,1,U4
RCA1913S1ABLKBLKWHT3,1,
3240027,2,
ASXHSXH22K254,2,
